auction_date,security_type,security_term,tenor_group
2007-06-12,Note,9-Year 11-Month,10Y
2007-06-27,Note,5-Year,5Y
2007-07-26,Note,5-Year,5Y
2007-08-08,Note,10-Year,10Y
2007-08-09,Bond,29-Year 9-Month,30Y
2007-08-30,Note,5-Year,5Y
2007-09-13,Note,9-Year 11-Month,10Y
2007-09-27,Note,5-Year,5Y
2007-10-25,Note,5-Year,5Y
2007-11-07,Note,10-Year,10Y
2007-11-08,Bond,29-Year 6-Month,30Y
2007-11-29,Note,5-Year,5Y
2007-12-13,Note,9-Year 11-Month,10Y
2007-12-27,Note,5-Year,5Y
2008-01-29,Note,5-Year,5Y
2008-02-06,Note,10-Year,10Y
2008-02-07,Bond,30-Year,30Y
2008-02-28,Note,5-Year,5Y
2008-03-13,Note,9-Year 11-Month,10Y
2008-03-27,Note,5-Year,5Y
2008-04-24,Note,5-Year,5Y
2008-05-07,Note,10-Year,10Y
2008-05-08,Bond,29-Year 9-Month,30Y
2008-05-29,Note,5-Year,5Y
2008-06-12,Note,9-Year 11-Month,10Y
2008-06-26,Note,5-Year,5Y
2008-07-24,Note,5-Year,5Y
2008-08-06,Note,10-Year,10Y
2008-08-07,Bond,29-Year 9-Month,30Y
2008-08-28,Note,5-Year,5Y
2008-09-11,Note,9-Year 11-Month,10Y
2008-09-25,Note,5-Year,5Y
2008-10-09,Note,9-Year 4-Month,10Y
2008-10-30,Note,5-Year,5Y
2008-11-12,Note,10-Year,10Y
2008-11-13,Bond,29-Year 6-Month,30Y
2008-11-25,Note,5-Year,5Y
2008-12-11,Note,9-Year 11-Month,10Y
2008-12-23,Note,5-Year,5Y
2009-01-08,Note,9-Year 10-Month,10Y
2009-01-29,Note,5-Year,5Y
2009-02-11,Note,10-Year,10Y
2009-02-12,Bond,30-Year,30Y
