auction_date,security_type,security_term,tenor_group
2025-06-16,Bond,19-Year 11-Month,30Y
2025-06-25,Note,5-Year,5Y
2025-07-09,Note,9-Year 10-Month,10Y
2025-07-10,Bond,29-Year 10-Month,30Y
2025-07-23,Bond,19-Year 10-Month,30Y
2025-07-28,Note,5-Year,5Y
2025-08-06,Note,10-Year,10Y
2025-08-07,Bond,30-Year,30Y
2025-08-20,Bond,20-Year,30Y
2025-08-27,Note,5-Year,5Y
2025-09-10,Note,9-Year 11-Month,10Y
2025-09-11,Bond,29-Year 11-Month,30Y
2025-09-16,Bond,19-Year 11-Month,30Y
2025-09-24,Note,5-Year,5Y
2025-10-08,Note,9-Year 10-Month,10Y
2025-10-09,Bond,29-Year 10-Month,30Y
2025-10-22,Bond,19-Year 10-Month,30Y
2025-10-27,Note,5-Year,5Y
2025-11-12,Note,10-Year,10Y
2025-11-13,Bond,30-Year,30Y
2025-11-19,Bond,20-Year,30Y
2025-11-25,Note,5-Year,5Y
2025-12-09,Note,9-Year 11-Month,10Y
2025-12-11,Bond,29-Year 11-Month,30Y
2025-12-17,Bond,19-Year 11-Month,30Y
2025-12-23,Note,5-Year,5Y
2026-01-12,Note,9-Year 10-Month,10Y
2026-01-13,Bond,29-Year 10-Month,30Y
2026-01-21,Bond,19-Year 10-Month,30Y
2026-01-27,Note,5-Year,5Y
2026-02-11,Note,10-Year,10Y
2026-02-12,Bond,30-Year,30Y
2026-02-18,Bond,20-Year,30Y
2026-02-25,Note,5-Year,5Y
2026-03-11,Note,9-Year 11-Month,10Y
2026-03-12,Bond,29-Year 11-Month,30Y
2026-03-17,Bond,19-Year 11-Month,30Y
2026-03-25,Note,5-Year,5Y
2026-04-08,Note,9-Year 10-Month,10Y
2026-04-09,Bond,29-Year 10-Month,30Y
2026-04-22,Bond,19-Year 10-Month,30Y
2026-04-27,Note,5-Year,5Y
2026-05-12,Note,10-Year,10Y
2026-05-13,Bond,30-Year,30Y
2026-05-20,Bond,20-Year,30Y
2026-05-27,Note,5-Year,5Y
2026-06-10,Note,9-Year 11-Month,10Y
2026-06-11,Bond,29-Year 11-Month,30Y
2026-06-16,Bond,19-Year 11-Month,30Y
